"PubSID","Code","Abbr","Name"
"0030925301","2720","MEDI","Hematology"
"0031879197","1306","BIOC","Cancer Research"
"0031879197","2730","MEDI","Oncology"
"0032006125","2720","MEDI","Hematology"
"17944366282","1306","BIOC","Cancer Research"
"17944366282","1307","BIOC","Cell Biology"
"17944366282","2403","IMMU","Immunology"
"17944366282","2716","MEDI","Genetics (clinical)"
"17944366282","2723","MEDI","Immunology and Allergy"
"17944366282","2730","MEDI","Oncology"
"17944366282","2747","MEDI","Transplantation"
"0036464657","1303","BIOC","Biochemistry"
"0036464657","1307","BIOC","Cell Biology"
"0036464657","2403","IMMU","Immunology"
"0036464657","2720","MEDI","Hematology"
"0030993535","2403","IMMU","Immunology"
"0036530011","2720","MEDI","Hematology"
"0033575383","1000","MULT","Multidisciplinary"
"0034761825","2403","IMMU","Immunology"
"0023067203","2403","IMMU","Immunology"
"0031945659","2720","MEDI","Hematology"
"0031945659","2747","MEDI","Transplantation"
"0032402158","2720","MEDI","Hematology"
"0034655759","2403","IMMU","Immunology"
"0034655759","2747","MEDI","Transplantation"
"0024314759","2403","IMMU","Immunology"
"0024314759","2726","MEDI","Microbiology (medical)"
"0033655656","2747","MEDI","Transplantation"
"0035133203","2720","MEDI","Hematology"
"0035960315","2403","IMMU","Immunology"
"0035960315","2747","MEDI","Transplantation"
"0032882173","2800","NEUR","Neuroscience (all)"
"0033546980","2800","NEUR","Neuroscience (all)"
"0030960290","2403","IMMU","Immunology"
"0030960290","2745","MEDI","Rheumatology"
"0029666221","2403","IMMU","Immunology"
"0029129542","2403","IMMU","Immunology"
"0029129542","2700","MEDI","Medicine (all)"
"0029129542","2723","MEDI","Immunology and Allergy"
"0029129542","2736","MEDI","Pharmacology (medical)"
"0029129542","2745","MEDI","Rheumatology"
"0034636302","2700","MEDI","Medicine (all)"
"0001230856","2720","MEDI","Hematology"
"0033775935","1306","BIOC","Cancer Research"
"0033775935","2720","MEDI","Hematology"
"0028862268","2403","IMMU","Immunology"
"0028862268","2723","MEDI","Immunology and Allergy"
"0028862268","2736","MEDI","Pharmacology (medical)"
"0028862268","2745","MEDI","Rheumatology"
"0033506258","1306","BIOC","Cancer Research"
"0033506258","2730","MEDI","Oncology"
"0031664666","2720","MEDI","Hematology"
"0032736341","2720","MEDI","Hematology"
"0028345579","1306","BIOC","Cancer Research"
"0028345579","2720","MEDI","Hematology"
"0028345579","2730","MEDI","Oncology"
"0023808837","2734","MEDI","Pathology and Forensic Medicine"
"0023808837","3500","DENT","Dentistry (all)"
"0026744046","2720","MEDI","Hematology"
"0032886463","2720","MEDI","Hematology"
"0033795607","2700","MEDI","Medicine (all)"
"0015058476","2700","MEDI","Medicine (all)"
"0018731532","2700","MEDI","Medicine (all)"
"0017688085","1306","BIOC","Cancer Research"
"0017688085","2730","MEDI","Oncology"
"0018102991","2900","NURS","Nursing (all)"
"0034302064","2700","MEDI","Medicine (all)"
"0029099349","1306","BIOC","Cancer Research"
"0029099349","2730","MEDI","Oncology"
"0031422845","2720","MEDI","Hematology"
"0029080221","1306","BIOC","Cancer Research"
"0029080221","2720","MEDI","Hematology"
"0029080221","2730","MEDI","Oncology"
"0031952390","2730","MEDI","Oncology"
"0030041465","2724","MEDI","Internal Medicine"
"0030927872","1306","BIOC","Cancer Research"
"0030927872","2720","MEDI","Hematology"
"0034235909","2720","MEDI","Hematology"
"0032189459","2724","MEDI","Internal Medicine"
"0028999305","2720","MEDI","Hematology"
"0034656999","1306","BIOC","Cancer Research"
"0034656999","2730","MEDI","Oncology"
"0030914793","1306","BIOC","Cancer Research"
"0030914793","2720","MEDI","Hematology"
"0034649716","2700","MEDI","Medicine (all)"
"0016740933","2720","MEDI","Hematology"
"0019427092","1306","BIOC","Cancer Research"
"0019427092","2730","MEDI","Oncology"
"0031951887","2730","MEDI","Oncology"
"0034193058","2720","MEDI","Hematology"
"0344729013","2700","MEDI","Medicine (all)"
"0028307594","1306","BIOC","Cancer Research"
"0028307594","2720","MEDI","Hematology"
"0028307594","2730","MEDI","Oncology"
"0027487946","2730","MEDI","Oncology"
"0025550294","2720","MEDI","Hematology"
"0035889147","2720","MEDI","Hematology"
"0034063889","2720","MEDI","Hematology"
"0034667537","1303","BIOC","Biochemistry"
"0034667537","1307","BIOC","Cell Biology"
"0034667537","2403","IMMU","Immunology"
"0034667537","2720","MEDI","Hematology"
"0032707533","1306","BIOC","Cancer Research"
"0032707533","2720","MEDI","Hematology"
"0031867045","2720","MEDI","Hematology"
"0031036424","1306","BIOC","Cancer Research"
"0031036424","2730","MEDI","Oncology"
"0030007085","1306","BIOC","Cancer Research"
