auth_sid,full_name,last_name,first_name,last_first_initial,doc_count_test,doc_count_total,auth_rrbr,auth_pir
7003935105,yamakage akio,yamakage,akio,yamakage a,1,33,0.0303030303030303,7
7003936757,poorthuis ben j h m,poorthuis,ben j h m,poorthuis b,1,51,0.0196078431372549,1
7003936760,kubar joanna,kubar,joanna,kubar j,1,18,0.0555555555555556,12
7003937058,kolitz jonathan e.,kolitz,jonathan e,kolitz j,4,130,0.0307692307692308,19
7003940577,thall aron d.,thall,aron d,thall a,1,32,0.03125,3
7003940596,eid kátia aparecida brito,eid,kátia aparecida brito,eid k,1,9,0.111111111111111,1
7003940632,coblyn jonathan s.,coblyn,jonathan s,coblyn j,1,45,0.0222222222222222,98
7003941338,bafna vineet k.,bafna,vineet k,bafna v,1,137,0.0072992700729927,1
7003943220,damon lloyd earl,damon,lloyd earl,damon l,1,66,0.0151515151515152,1
7003943374,whitham ruth h.,whitham,ruth h,whitham r,5,49,0.102040816326531,9
7003943426,dragic tatjana,dragic,tatjana,dragic t,1,38,0.0263157894736842,2
7003943536,davis zadie a.,davis,zadie a,davis z,1,52,0.0192307692307692,1
7003944108,fernandes-alnemri teresa,fernandes-alnemri,teresa,fernandes-alnemri t,1,62,0.0161290322580645,1
7003945007,mazzaro cesare,mazzaro,cesare,mazzaro c,1,58,0.0172413793103448,1
7003945624,von dem borne kr a e g,von dem borne,kr a e g,von dem borne k,1,1,1,1
7003947460,frayne jan,frayne,jan,frayne j,1,33,0.0303030303030303,2
