eid_set_B_citing	eid_set_C_cited	cited_is_in_B	cited_is_in_A
2023426	28047686	1	0
2023426	28104433	1	0
2023426	28113448	1	0
2023426	28116127	1	0
2023426	28118824	1	0
2023426	28129059	1	0
2023426	28143211	1	1
2023426	28208818	1	0
2023426	28277290	1	0
2023426	28291737	1	0
2023426	28322352	1	0
2023426	28324076	1	0
2023426	28382242	1	0
2023426	28382506	1	0
2023426	28382512	1	0
2023426	28466705	1	0
2023426	28483534	1	0
2023426	28485654	1	0
2023426	28556453	1	0
2023426	28567973	1	0
2023426	28604577	1	0
2023426	28641282	1	0
2023426	28816032	1	0
2023426	28833139	1	0
2023426	28838862	1	0
2023426	28891669	1	0
2023426	28906195	1	0
2023426	28915695	1	0
2023426	28932897	1	0
2023426	28939303	1	0
2023426	28947020	1	0
2023426	28969770	1	0
2023426	29014101	1	0
2023426	29030448	1	0
2023426	29031001	1	0
2023426	29036791	1	0
2023426	29072901	1	0
2023426	29092161	1	0
2023426	29165411	1	0
2023426	41575058	1	0
2023426	41575059	1	0
2023426	41575060	1	0
2023426	41575065	1	0
2023426	42076245	1	0
2023426	42076247	1	0
2023426	42076248	1	0
2023426	42076249	1	0
2023426	42076251	1	0
2023426	42577285	1	0
2023426	42577289	1	0
2023426	43078032	1	0
2023426	43078033	1	0
2023426	43078038	1	0
2023426	43078039	1	0
2023426	43078040	1	0
2023426	23544454435	1	0
2119228	791476	1	0
2119228	25183708	1	0
2119228	28963020	1	0
2119228	31803462	1	0
2119228	32561502	1	0
2119228	33598275	1	0
2119228	79960655760	1	0
2473587	739975	1	0
2473587	1210234	1	0
2473587	22325950	1	0
2473587	84944812409	1	1
3104975	15861774	1	0
3104975	24535530	1	0
3104975	25102021	1	0
3104975	27217789	1	1
3104975	27932728	1	0
3104975	27967385	1	0
3104975	27978869	1	0
3104975	28104782	1	0
3104975	28261582	1	0
3104975	28410566	1	0
3104975	28902752	1	0
3104975	28988331	1	0
3104975	29013301	1	0
3104975	29037210	1	0
3104975	29926145	1	0
3104975	29933309	1	1
3104975	29966057	1	0
3108715	431595	1	1
3108715	3667275	1	0
3108715	16740933	1	1
3108715	18131730	1	0
3108715	19427092	1	0
3108715	21270274	1	1
3108715	22446502	1	0
3108715	22569746	1	0
3108715	23717101	1	1
3108715	24212762	1	0
3108715	24314667	1	0
3108715	24388694	1	0
3108715	24509928	1	0
3108715	24546379	1	1
3108715	24841962	1	0
3108715	25239350	1	0
3108715	26320325	1	1
3108715	26321444	1	0
3108715	26329141	1	0
3108715	26330995	1	0
3108715	26347957	1	0
3108715	26637511	1	1
3108715	27200169	1	1
3108715	28096165	1	0
3108715	28307594	1	0
3108715	29119017	1	0
3108715	29850883	1	0
3108715	29981025	1	1
3226768	27239823	1	1
3226768	29591322	1	0
3226768	29815706	1	0
3226768	29897734	1	0
3226768	30761477	1	0
3273363	23043160	1	0
3273363	28149606	1	0
3273363	28795448	1	0
4419978	22430251	1	0
4419978	24290444	1	0
4419978	25762568	1	0
4419978	26556640	1	0
4419978	29060373	1	0
4419978	31055891	1	0
4750551	1234754	1	0
4750551	1721705	1	0
