"source","stype","target","ttype"
"alemtuzumab","root","10366506","pmid1"
"alemtuzumab","root","10489036","pmid1"
"alemtuzumab","root","10568572","pmid1"
"alemtuzumab","root","10221486","pmid1"
"alemtuzumab","root","10573065","pmid1"
"alemtuzumab","root","10411505","pmid1"
"alemtuzumab","root","10438301","pmid1"
"alemtuzumab","root","10071037","pmid1"
"alemtuzumab","root","10199733","pmid1"
"alemtuzumab","root","10589966","pmid1"
"alemtuzumab","root","10905770","pmid1"
"alemtuzumab","root","11040273","pmid1"
"alemtuzumab","root","11147485","pmid1"
"alemtuzumab","root","11049025","pmid1"
"alemtuzumab","root","10963642","pmid1"
"alemtuzumab","root","10877057","pmid1"
"alemtuzumab","root","10894358","pmid1"
"alemtuzumab","root","10918407","pmid1"
"alemtuzumab","root","10735013","pmid1"
"alemtuzumab","root","10607689","pmid1"
"alemtuzumab","root","10792280","pmid1"
"alemtuzumab","root","10844529","pmid1"
"alemtuzumab","root","10878285","pmid1"
"alemtuzumab","root","10721782","pmid1"
"alemtuzumab","root","10713664","pmid1"
"alemtuzumab","root","10691866","pmid1"
"alemtuzumab","root","10792269","pmid1"
"alemtuzumab","root","12042050","pmid1"
"alemtuzumab","root","10828867","pmid1"
"alemtuzumab","root","11486330","pmid1"
"alemtuzumab","root","10779422","pmid1"
"alemtuzumab","root","10891432","pmid1"
"alemtuzumab","root","10891435","pmid1"
"alemtuzumab","root","11200902","pmid1"
"alemtuzumab","root","11001893","pmid1"
"alemtuzumab","root","11049967","pmid1"
"alemtuzumab","root","11258483","pmid1"
"alemtuzumab","root","11085457","pmid1"
"alemtuzumab","root","11114133","pmid1"
"alemtuzumab","root","11071258","pmid1"
"alemtuzumab","root","11707828","pmid1"
"alemtuzumab","root","10805828","pmid1"
"alemtuzumab","root","11114313","pmid1"
"alemtuzumab","root","11114321","pmid1"
"alemtuzumab","root","10798754","pmid1"
"alemtuzumab","root","10798751","pmid1"
"alemtuzumab","root","10820364","pmid1"
"alemtuzumab","root","10942366","pmid1"
"alemtuzumab","root","11023504","pmid1"
"alemtuzumab","root","10665560","pmid1"
"alemtuzumab","root","12171724","pmid1"
"alemtuzumab","root","12171728","pmid1"
"alemtuzumab","root","12171721","pmid1"
"alemtuzumab","root","12171722","pmid1"
"alemtuzumab","root","11920265","pmid1"
"alemtuzumab","root","11553001","pmid1"
"alemtuzumab","root","11516091","pmid1"
"alemtuzumab","root","11583062","pmid1"
"alemtuzumab","root","11566020","pmid1"
"alemtuzumab","root","11342359","pmid1"
"alemtuzumab","root","11160771","pmid1"
"alemtuzumab","root","11167809","pmid1"
"alemtuzumab","root","11527007","pmid1"
"alemtuzumab","root","11230486","pmid1"
"alemtuzumab","root","11296131","pmid1"
"alemtuzumab","root","11418459","pmid1"
"alemtuzumab","root","11520778","pmid1"
"alemtuzumab","root","12171714","pmid1"
"alemtuzumab","root","11769960","pmid1"
"alemtuzumab","root","11158184","pmid1"
"alemtuzumab","root","11304768","pmid1"
"alemtuzumab","root","11304767","pmid1"
"alemtuzumab","root","11435295","pmid1"
"alemtuzumab","root","11535503","pmid1"
