"","source","stype","target","ttype"
"227","alemtuzumab","root","9845524","pmid1"
"228","alemtuzumab","root","9838682","pmid1"
"229","alemtuzumab","root","9834254","pmid1"
"230","alemtuzumab","root","9824507","pmid1"
"231","alemtuzumab","root","9811544","pmid1"
"232","alemtuzumab","root","9809379","pmid1"
"233","alemtuzumab","root","9779699","pmid1"
"234","alemtuzumab","root","9777606","pmid1"
"235","alemtuzumab","root","9747629","pmid1"
"236","alemtuzumab","root","9737590","pmid1"
"237","alemtuzumab","root","9734890","pmid1"
"238","alemtuzumab","root","9712499","pmid1"
"239","alemtuzumab","root","9707017","pmid1"
"240","alemtuzumab","root","9668276","pmid1"
"241","alemtuzumab","root","9630324","pmid1"
"242","alemtuzumab","root","9630323","pmid1"
"243","alemtuzumab","root","9593475","pmid1"
"244","alemtuzumab","root","9531622","pmid1"
"245","alemtuzumab","root","9578307","pmid1"
"246","alemtuzumab","root","9509982","pmid1"
"247","alemtuzumab","root","9502298","pmid1"
"248","alemtuzumab","root","9482528","pmid1"
"249","alemtuzumab","root","9471061","pmid1"
"250","alemtuzumab","root","9464849","pmid1"
"251","alemtuzumab","root","9367397","pmid1"
"252","alemtuzumab","root","9337063","pmid1"
"253","alemtuzumab","root","9337053","pmid1"
"254","alemtuzumab","root","9291477","pmid1"
"255","alemtuzumab","root","9235735","pmid1"
"256","alemtuzumab","root","9228156","pmid1"
"257","alemtuzumab","root","9215839","pmid1"
"258","alemtuzumab","root","9204983","pmid1"
"259","alemtuzumab","root","9188478","pmid1"
"260","alemtuzumab","root","9207420","pmid1"
"261","alemtuzumab","root","9195505","pmid1"
"262","alemtuzumab","root","9250818","pmid1"
"263","alemtuzumab","root","9163593","pmid1"
"264","alemtuzumab","root","9126378","pmid1"
"265","alemtuzumab","root","9193354","pmid1"
"266","alemtuzumab","root","9148769","pmid1"
"267","alemtuzumab","root","9054677","pmid1"
"268","alemtuzumab","root","9054672","pmid1"
"269","alemtuzumab","root","9051241","pmid1"
"270","alemtuzumab","root","9020367","pmid1"
"271","alemtuzumab","root","8981930","pmid1"
"272","alemtuzumab","root","9137963","pmid1"
"273","alemtuzumab","root","9049965","pmid1"
"274","alemtuzumab","root","8973608","pmid1"
"275","alemtuzumab","root","8899185","pmid1"
"276","alemtuzumab","root","8790160","pmid1"
"277","alemtuzumab","root","8784367","pmid1"
"278","alemtuzumab","root","8864469","pmid1"
"279","alemtuzumab","root","8864449","pmid1"
"280","alemtuzumab","root","9345418","pmid1"
"281","alemtuzumab","root","8844262","pmid1"
"282","alemtuzumab","root","8756101","pmid1"
"283","alemtuzumab","root","8690051","pmid1"
"284","alemtuzumab","root","8782148","pmid1"
"285","alemtuzumab","root","8690449","pmid1"
"286","alemtuzumab","root","8733715","pmid1"
"287","alemtuzumab","root","8733704","pmid1"
"288","alemtuzumab","root","8707338","pmid1"
"289","alemtuzumab","root","8611731","pmid1"
"290","alemtuzumab","root","8611450","pmid1"
"291","alemtuzumab","root","8738190","pmid1"
"292","alemtuzumab","root","8722340","pmid1"
"293","alemtuzumab","root","8704678","pmid1"
"294","alemtuzumab","root","8671618","pmid1"
"295","alemtuzumab","root","8620297","pmid1"
"296","alemtuzumab","root","8624684","pmid1"
"297","alemtuzumab","root","9238651","pmid1"
"298","alemtuzumab","root","8562410","pmid1"
"299","alemtuzumab","root","8546734","pmid1"
"300","alemtuzumab","root","8618827","pmid1"
"301","alemtuzumab","root","9373346","pmid1"
"302","alemtuzumab","root","8750280","pmid1"
"303","alemtuzumab","root","8720080","pmid1"
"304","alemtuzumab","root","8643100","pmid1"
"305","alemtuzumab","root","7491698","pmid1"
"306","alemtuzumab","root","8654681","pmid1"
"307","alemtuzumab","root","8534657","pmid1"
"308","alemtuzumab","root","7488279","pmid1"
"309","alemtuzumab","root","7579421","pmid1"
"310","alemtuzumab","root","22358555","pmid1"
"311","alemtuzumab","root","8991975","pmid1"
"312","alemtuzumab","root","7572995","pmid1"
"313","alemtuzumab","root","7575719","pmid1"
"314","alemtuzumab","root","7575711","pmid1"
"315","alemtuzumab","root","7632956","pmid1"
"316","alemtuzumab","root","9358610","pmid1"
"317","alemtuzumab","root","7622867","pmid1"
"318","alemtuzumab","root","7662637","pmid1"
"319","alemtuzumab","root","7557898","pmid1"
"320","alemtuzumab","root","7762066","pmid1"
"321","alemtuzumab","root","7655382","pmid1"
"322","alemtuzumab","root","7890742","pmid1"
"323","alemtuzumab","root","7762819","pmid1"
"324","alemtuzumab","root","7734348","pmid1"
"325","alemtuzumab","root","7599563","pmid1"
"326","alemtuzumab","root","7773229","pmid1"
"327","alemtuzumab","root","7531440","pmid1"
"328","alemtuzumab","root","7530212","pmid1"
"329","alemtuzumab","root","22358746","pmid1"
"330","alemtuzumab","root","8543073","pmid1"
"331","alemtuzumab","root","7718516","pmid1"
"332","alemtuzumab","root","7711666","pmid1"
"333","alemtuzumab","root","7584499","pmid1"
"334","alemtuzumab","root","7858503","pmid1"
"335","alemtuzumab","root","7914262","pmid1"
"336","alemtuzumab","root","7920312","pmid1"
"337","alemtuzumab","root","8054913","pmid1"
"338","alemtuzumab","root","8027367","pmid1"
"339","alemtuzumab","root","8019459","pmid1"
"340","alemtuzumab","root","7997943","pmid1"
"341","alemtuzumab","root","7922004","pmid1"
"342","alemtuzumab","root","8260716","pmid1"
"343","alemtuzumab","root","8405234","pmid1"
"344","alemtuzumab","root","8405223","pmid1"
"345","alemtuzumab","root","8241978","pmid1"
"346","alemtuzumab","root","8366859","pmid1"
"347","alemtuzumab","root","7688956","pmid1"
"348","alemtuzumab","root","7687895","pmid1"
"349","alemtuzumab","root","8217808","pmid1"
"350","alemtuzumab","root","8477804","pmid1"
"351","alemtuzumab","root","8096935","pmid1"
"352","alemtuzumab","root","8324942","pmid1"
"353","alemtuzumab","root","7685389","pmid1"
